"train_method (WP, NP or backprop)",d (n_ch),n_class,seed,Max Accuracy,num. of iterations to 20% testing accuracy,num. of iterations to 20% training accuracy,num. of iterations to 40% testing accuracy,num. of iterations to 40% training accuracy,num. of iterations to 60% testing accuracy,num. of iterations to 60% training accuracy,num. of iterations to 80% testing accuracy,num. of iterations to 80% training accuracy
weight,16,10,7,0.9067,6600,6800,42100,42500,91900,92400,762400,689800
node,16,10,7,0.9186,2500,2500,13600,13600,21800,22000,195300,169100
backprop,16,10,7,0.9166,104,107,462,463,1100,1100,10300,9100
weight,16,10,8,0.9061,17200,17100,31000,29800,88800,88200,790900,700400
node,16,10,8,0.9187,4500,4400,8100,8100,19400,19300,217700,189900
backprop,16,10,8,0.9195,166,160,323,321,1100,1100,11300,9400
weight,16,10,9,0.9035,13500,13800,42700,42400,91700,88500,859700,721900
node,16,10,9,0.9196,3400,3500,9700,9600,20900,20600,231800,191300
backprop,16,10,9,0.9181,79,161,449,448,1200,1200,12200,10400
weight,16,10,10,0.9059,6500,6600,24100,22300,66800,65900,764400,671100
node,16,10,10,0.9151,2300,2200,6600,6400,17900,17600,185000,174300
backprop,16,10,10,0.921,118,118,282,280,866,839,10200,8800
weight,24,10,1,0.9166,14100,14300,52600,50200,81300,80700,840900,741100
node,24,10,1,0.9247,2900,2800,5700,5500,14800,14200,203700,178500
backprop,24,10,1,0.921,108,108,280,272,572,572,8700,7500
weight,24,10,2,0.9149,11400,11500,27300,27800,80900,82200,962800,834800
node,24,10,2,0.925,2800,2600,6800,6900,12600,14600,229600,196300
backprop,24,10,2,0.9215,142,141,258,260,595,615,9800,8400
weight,24,10,3,0.9139,12400,12300,25700,25800,64500,63600,1000200,870100
node,24,10,3,0.9225,3200,3100,8600,8700,15200,15100,242500,212800
backprop,24,10,3,0.9185,114,113,334,336,641,635,11100,9000
weight,24,10,4,0.9196,20600,20400,35600,35500,71400,69700,853200,729400
node,24,10,4,0.9225,3100,3100,6800,6800,13700,13200,214500,181800
backprop,24,10,4,0.9224,114,113,280,276,606,523,8500,7300
weight,24,10,5,0.9138,21900,22100,34800,34400,64000,69900,847800,699900
node,24,10,5,0.9227,4000,4000,7400,7400,12900,12500,193200,160800
backprop,24,10,5,0.9195,191,190,284,284,777,778,8100,6900
weight,32,10,1,0.9017,25100,25300,37400,37600,105500,105900,1098000,914500
weight,32,10,1,0.9017,25100,25300,37400,37600,105500,105900,1098000,914500
node,32,10,1,0.912,4200,4200,6900,6900,19700,19100,239200,198200
node,32,10,1,0.912,4200,4200,6900,6900,19700,19100,239200,198200
backprop,32,10,1,0.9209,157,157,245,245,720,722,8300,6800
backprop,32,10,1,0.9209,157,157,245,245,720,722,8300,6800
weight,32,10,2,0.9017,13700,10800,42800,42200,87100,85400,963000,847400
weight,32,10,2,0.9017,13700,10800,42800,42200,87100,85400,963000,847400
node,32,10,2,0.9054,2700,2500,7900,7800,20700,20700,209000,176700
node,32,10,2,0.9054,2700,2500,7900,7800,20700,20700,209000,176700
backprop,32,10,2,0.9227,91,90,327,317,550,539,7300,6000
backprop,32,10,2,0.9227,91,90,327,317,550,539,7300,6000
weight,32,10,3,0.8998,6200,6100,37200,37300,82900,82100,994100,829800
weight,32,10,3,0.8998,6200,6100,37200,37300,82900,82100,994100,829800
node,32,10,3,0.9055,2000,2000,7500,7500,21900,21900,214900,185000
node,32,10,3,0.9055,2000,2000,7500,7500,21900,21900,214900,185000
backprop,32,10,3,0.9215,61,56,302,223,669,669,8400,7000
backprop,32,10,3,0.9215,61,56,302,223,669,669,8400,7000
weight,32,10,4,0.8945,12100,12000,42500,41800,88900,86000,1093300,930800
weight,32,10,4,0.8945,12100,12000,42500,41800,88900,86000,1093300,930800
node,32,10,4,0.915,2400,2300,7800,7400,17700,16500,233700,188700
node,32,10,4,0.915,2400,2300,7800,7400,17700,16500,233700,188700
backprop,32,10,4,0.9223,94,93,266,262,614,588,8800,7200
backprop,32,10,4,0.9223,94,93,266,262,614,588,8800,7200
weight,32,10,5,0.8963,7600,7800,25400,24800,72800,72500,953400,817900
weight,32,10,5,0.8963,7600,7800,25400,24800,72800,72500,953400,817900
node,32,10,5,0.9126,2000,2000,7100,6800,17300,16300,219500,189000
node,32,10,5,0.9126,2000,2000,7100,6800,17300,16300,219500,189000
backprop,32,10,5,0.9189,59,60,156,158,559,547,7700,6500
backprop,32,10,5,0.9189,59,60,156,158,559,547,7700,6500
weight,32,10,6,0.902,14400,14100,33700,33500,92800,94000,987800,836800
weight,32,10,6,0.902,14400,14100,33700,33500,92800,94000,987800,836800
node,32,10,6,0.915,1200,1200,7200,7000,17600,17300,230300,187700
node,32,10,6,0.915,1200,1200,7200,7000,17600,17300,230300,187700
backprop,32,10,6,0.9224,46,96,230,230,739,740,7900,6300
backprop,32,10,6,0.9224,46,96,230,230,739,740,7900,6300
weight,32,10,7,0.9009,17700,17600,30600,30600,86300,84000,1176500,1024500
weight,32,10,7,0.9009,17700,17600,30600,30600,86300,84000,1176500,1024500
node,32,10,7,0.9117,3300,3300,5900,5800,17200,17200,241600,200400
node,32,10,7,0.9117,3300,3300,5900,5800,17200,17200,241600,200400
backprop,32,10,7,0.9223,116,116,207,208,442,438,9700,8300
backprop,32,10,7,0.9223,116,116,207,208,442,438,9700,8300
weight,32,10,8,0.8994,956,555,33300,33100,82400,81700,1116900,978100
weight,32,10,8,0.8994,956,555,33300,33100,82400,81700,1116900,978100
node,32,10,8,0.915,113,100,5800,5600,17400,17300,254500,214400
node,32,10,8,0.915,113,100,5800,5600,17400,17300,254500,214400
backprop,32,10,8,0.9239,10,8,191,189,706,560,8700,7500
backprop,32,10,8,0.9239,10,8,191,189,706,560,8700,7500
weight,32,10,9,0.8973,39600,39500,62800,61800,108100,107300,1039700,890200
weight,32,10,9,0.8973,39600,39500,62800,61800,108100,107300,1039700,890200
node,32,10,9,0.9119,5900,6000,10900,10700,20900,19200,229400,194300
node,32,10,9,0.9119,5900,6000,10900,10700,20900,19200,229400,194300
backprop,32,10,9,0.9196,269,269,416,413,768,757,8200,7000
backprop,32,10,9,0.9196,269,269,416,413,768,757,8200,7000
weight,32,10,10,0.9009,13200,13000,27800,27300,74000,71300,879700,775400
weight,32,10,10,0.9009,13200,13000,27800,27300,74000,71300,879700,775400
node,32,10,10,0.9141,2500,2500,4100,4100,12900,12900,201300,177300
node,32,10,10,0.9141,2500,2500,4100,4100,12900,12900,201300,177300
backprop,32,10,10,0.9213,89,88,171,166,473,469,7000,5900
backprop,32,10,10,0.9213,89,88,171,166,473,469,7000,5900
weight,48,10,1,0.8926,15400,15200,31100,30900,108100,110700,1110600,960100
node,48,10,1,0.9082,2100,2100,4000,4000,20000,19900,257000,220400
backprop,48,10,1,0.9242,50,49,131,131,490,483,6600,5400
weight,48,10,2,0.8809,19300,19400,40600,41300,68100,69100,1148200,992500
node,48,10,2,0.9062,4100,4000,8400,8400,13600,13600,234700,189500
weight,48,10,3,0.891,18600,19000,41800,42700,90600,90400,1165800,1012300
node,48,10,3,0.9069,4400,4400,9700,9700,19400,19400,250500,199900
backprop,48,10,3,0.9204,97,97,204,206,484,481,6600,5600
weight,48,10,6,0.8756,17700,18000,44300,43900,132200,129500,1156900,1031800
node,48,10,6,0.8963,2600,2600,6700,6700,24700,24900,243700,206400
backprop,48,10,6,0.9211,67,70,201,198,764,764,6800,5900
weight,48,10,7,0.8648,15200,14800,44600,44100,114200,111600,1159000,951100
node,48,10,7,0.8976,3200,3100,6900,6800,18200,17700,239300,197400
backprop,48,10,7,0.9211,73,72,196,196,537,534,6400,5000
