iteration,C_train,C_test,train_error,test_error
500.0,1.8924,1.6709,0.4625,0.465
501.0,1.8905,1.6689,0.4616,0.4637
502.0,1.8885,1.6668,0.4592,0.4607
503.0,1.8864,1.6646,0.4583,0.4599
504.0,1.8845,1.6625,0.4571,0.4586
505.0,1.8827,1.6607,0.4589,0.4608
506.0,1.8806,1.6584,0.4596,0.4607
507.0,1.8786,1.6563,0.4586,0.4603
508.0,1.8765,1.654,0.461,0.4615
509.0,1.8745,1.6519,0.4598,0.4608
510.0,1.8728,1.6501,0.4599,0.4596
511.0,1.8707,1.6479,0.4583,0.4578
512.0,1.8691,1.6462,0.4574,0.4581
513.0,1.8669,1.6438,0.4576,0.4584
514.0,1.8648,1.6416,0.4573,0.4577
515.0,1.8627,1.6394,0.4587,0.4605
516.0,1.8609,1.6375,0.458,0.4615
517.0,1.8589,1.6354,0.4605,0.4639
518.0,1.8571,1.6334,0.4607,0.464
519.0,1.8553,1.6315,0.4583,0.4612
520.0,1.8534,1.6295,0.4575,0.4611
521.0,1.8515,1.6275,0.4577,0.4615
522.0,1.8496,1.6255,0.4585,0.4617
523.0,1.8476,1.6233,0.4545,0.4584
524.0,1.8458,1.6213,0.4568,0.4606
525.0,1.8439,1.6193,0.457,0.4602
526.0,1.8422,1.6175,0.4565,0.46
527.0,1.8405,1.6156,0.4571,0.4601
528.0,1.8389,1.6139,0.4575,0.4599
529.0,1.8372,1.612,0.4558,0.4587
530.0,1.8354,1.61,0.4543,0.4568
531.0,1.8336,1.6081,0.4535,0.4555
532.0,1.8318,1.6062,0.4515,0.4553
533.0,1.83,1.6043,0.4503,0.4541
534.0,1.8282,1.6024,0.4492,0.4516
535.0,1.8266,1.6005,0.4514,0.4532
536.0,1.8248,1.5986,0.4491,0.4518
537.0,1.8231,1.5967,0.449,0.4507
538.0,1.8214,1.595,0.4489,0.4527
539.0,1.8195,1.5929,0.4508,0.4549
540.0,1.8177,1.5911,0.4499,0.453
541.0,1.8161,1.5893,0.4483,0.4513
542.0,1.8143,1.5873,0.4478,0.4499
543.0,1.8126,1.5854,0.4478,0.4497
544.0,1.8108,1.5835,0.4473,0.4495
545.0,1.809,1.5816,0.4466,0.4492
546.0,1.8072,1.5797,0.4458,0.449
547.0,1.8054,1.5778,0.4449,0.4476
548.0,1.8037,1.5758,0.4452,0.449
549.0,1.8021,1.574,0.4455,0.4471
550.0,1.8005,1.5723,0.4448,0.4471
551.0,1.7987,1.5704,0.4464,0.4503
552.0,1.7972,1.5686,0.4462,0.4477
553.0,1.7954,1.5667,0.4463,0.4498
554.0,1.7936,1.5648,0.4455,0.4505
555.0,1.7919,1.563,0.4436,0.4484
556.0,1.7902,1.5612,0.4426,0.4454
557.0,1.7886,1.5594,0.4426,0.445
558.0,1.7867,1.5575,0.4424,0.4455
559.0,1.7852,1.5558,0.4425,0.4461
560.0,1.7835,1.5539,0.4447,0.4487
561.0,1.7819,1.5521,0.4437,0.4466
562.0,1.7802,1.5502,0.4439,0.4466
563.0,1.7784,1.5484,0.4436,0.4471
564.0,1.7769,1.5467,0.4432,0.4469
565.0,1.7752,1.5449,0.4422,0.448
566.0,1.7735,1.5431,0.4425,0.4463
567.0,1.7719,1.5413,0.4437,0.4476
568.0,1.7701,1.5394,0.4433,0.4469
569.0,1.7683,1.5374,0.4423,0.4457
570.0,1.7667,1.5356,0.4436,0.4469
571.0,1.7649,1.5337,0.4425,0.4453
