iteration,cos_a
688.0,0.632
689.0,0.6322
690.0,0.6322
691.0,0.6325
692.0,0.6327
693.0,0.6331
694.0,0.6344
695.0,0.6345
696.0,0.6346
697.0,0.6347
698.0,0.6354
699.0,0.6356
700.0,0.6362
701.0,0.6361
702.0,0.6362
703.0,0.6364
704.0,0.636
705.0,0.6362
706.0,0.6366
707.0,0.6367
708.0,0.6365
709.0,0.6366
710.0,0.6369
711.0,0.637
712.0,0.6373
713.0,0.6376
714.0,0.6379
715.0,0.6381
716.0,0.6387
717.0,0.6388
718.0,0.6392
719.0,0.6392
720.0,0.6394
721.0,0.6394
722.0,0.6398
723.0,0.6405
724.0,0.641
725.0,0.6415
726.0,0.6415
727.0,0.6417
728.0,0.642
729.0,0.6417
730.0,0.6424
731.0,0.6427
732.0,0.643
733.0,0.6435
734.0,0.6436
735.0,0.6439
736.0,0.644
737.0,0.6443
738.0,0.6445
739.0,0.6447
740.0,0.6446
741.0,0.6447
742.0,0.6449
743.0,0.6447
744.0,0.6451
745.0,0.6455
746.0,0.6459
747.0,0.6463
748.0,0.6467
749.0,0.647
750.0,0.6475
751.0,0.6477
752.0,0.648
753.0,0.6486
754.0,0.6492
755.0,0.6494
756.0,0.65
757.0,0.6502
758.0,0.6503
759.0,0.6508
760.0,0.6509
761.0,0.6513
762.0,0.6517
763.0,0.6517
764.0,0.6519
765.0,0.652
766.0,0.6521
767.0,0.6523
768.0,0.6526
769.0,0.653
770.0,0.6539
771.0,0.6543
772.0,0.6551
773.0,0.6555
774.0,0.6558
775.0,0.6559
776.0,0.6564
777.0,0.6566
778.0,0.6569
779.0,0.657
780.0,0.6572
781.0,0.6575
782.0,0.6578
783.0,0.6578
784.0,0.6582
785.0,0.6582
786.0,0.6584
787.0,0.6584
788.0,0.6587
789.0,0.6592
790.0,0.6591
791.0,0.6593
792.0,0.6592
793.0,0.6597
794.0,0.6598
795.0,0.66
796.0,0.6599
797.0,0.6599
798.0,0.66
799.0,0.6601
800.0,0.6607
801.0,0.6607
802.0,0.6611
803.0,0.6612
804.0,0.6614
805.0,0.6615
806.0,0.6618
807.0,0.6619
808.0,0.6621
809.0,0.6622
810.0,0.6624
811.0,0.6627
812.0,0.6629
813.0,0.663
814.0,0.6633
815.0,0.6637
816.0,0.6639
817.0,0.6639
818.0,0.6641
819.0,0.6648
820.0,0.6654
821.0,0.6657
822.0,0.6661
823.0,0.6666
824.0,0.6668
825.0,0.667
826.0,0.6671
827.0,0.6673
828.0,0.6675
829.0,0.6675
830.0,0.668
831.0,0.6684
832.0,0.6683
833.0,0.6684
834.0,0.6686
835.0,0.669
836.0,0.669
837.0,0.6691
838.0,0.6694
839.0,0.67
840.0,0.6701
841.0,0.6705
842.0,0.6707
843.0,0.6713
844.0,0.6716
845.0,0.6717
846.0,0.6718
847.0,0.672
848.0,0.6721
849.0,0.6726
850.0,0.6729
851.0,0.6728
852.0,0.6729
853.0,0.6731
854.0,0.6732
855.0,0.6734
856.0,0.6735
857.0,0.6738
858.0,0.6741
859.0,0.6742
860.0,0.6743
861.0,0.6745
862.0,0.6745
863.0,0.6749
864.0,0.6749
865.0,0.6752
866.0,0.6755
867.0,0.6757
868.0,0.6758
869.0,0.6761
870.0,0.6762
871.0,0.6761
872.0,0.6768
873.0,0.677
874.0,0.677
875.0,0.6773
876.0,0.6775
877.0,0.6776
878.0,0.6778
879.0,0.6779
880.0,0.6782
881.0,0.678
882.0,0.6786
883.0,0.6788
884.0,0.679
885.0,0.6794
886.0,0.6796
887.0,0.6798
888.0,0.6802
889.0,0.6807
890.0,0.6813
891.0,0.6813
892.0,0.6816
893.0,0.6819
894.0,0.6821
895.0,0.6824
896.0,0.6829
897.0,0.6829
898.0,0.6827
899.0,0.6828
900.0,0.6828
901.0,0.683
902.0,0.683
903.0,0.6831
